T,ENC,IMU,Lag,ENC_RAW
3233,0.00,0.08,6.0,275
3237,0.00,0.08,4.5,275
3241,0.00,0.08,3.2,275
3245,0.00,0.08,4.8,275
3248,0.00,0.08,3.0,275
3252,0.00,0.08,4.6,275
3255,0.00,0.08,4.2,275
3258,0.00,0.08,4.0,275
3262,0.00,0.08,5.0,275
3266,0.00,0.08,4.1,275
3270,0.00,0.08,2.9,275
3274,0.00,0.08,4.1,275
3277,0.00,0.08,5.0,275
3280,0.00,0.08,3.4,275
3284,0.00,0.08,4.8,275
3288,0.00,0.08,5.6,275
3291,0.00,0.08,4.1,275
3295,0.00,0.08,4.2,275
3298,0.00,0.08,3.6,275
3302,0.00,0.08,4.8,275
3305,0.00,0.08,3.2,275
