T,ENC,IMU,Lag,ENC_RAW
1417,0.00,0.02,4.2,275
1420,0.00,0.02,3.7,275
1424,0.00,0.02,4.4,275
1427,0.00,0.02,3.0,275
1431,0.00,0.03,4.1,275
1434,0.00,0.03,5.2,275
1437,0.00,0.03,3.4,275
1441,0.00,0.03,4.6,275
1447,0.00,0.03,7.5,275
1487,0.00,0.03,39.7,275
1491,0.00,0.03,12.3,275
1500,0.00,0.03,5.2,275
1505,0.00,0.03,2.8,275
1509,0.00,0.03,4.8,275
1512,0.00,0.03,3.4,275
1516,0.00,0.03,4.4,275
1519,0.00,0.03,3.0,275
1523,0.00,0.03,4.2,275
1526,0.00,0.03,5.2,275
1530,0.00,0.03,3.6,275
1534,0.00,0.03,4.6,275
1537,0.00,0.03,5.3,275
1540,0.00,0.03,4.1,275
1544,0.00,0.03,5.3,275
1547,0.00,0.03,3.8,275
1551,0.00,0.03,5.0,275
1555,0.00,0.03,3.2,275
1558,0.00,0.03,4.6,275
1562,0.00,0.03,3.2,275
1566,0.00,0.03,3.5,275
1569,0.00,0.03,5.2,275
1572,0.00,0.03,2.9,275
1576,0.00,0.03,4.6,275
1579,0.00,0.02,3.2,275
1584,0.00,0.02,5.2,275
1587,0.00,0.02,3.3,275
1592,0.00,0.02,5.3,275
1595,0.00,0.02,3.9,275
1599,0.00,0.02,5.0,275
1602,0.00,0.02,3.6,275
1606,0.00,0.02,4.6,275
1609,0.00,0.02,3.2,275
1613,0.00,0.02,4.2,275
1616,0.00,0.02,5.3,275
1620,0.00,0.02,3.8,275
1624,0.00,0.02,5.3,275
1627,0.00,0.02,3.8,275
1631,0.00,0.02,5.3,275
1635,0.00,0.02,3.9,275
1639,0.00,0.02,6.0,275
1642,0.00,0.02,3.4,275
1646,0.00,0.02,3.9,275
1649,0.00,0.02,5.3,275
1655,0.00,0.02,7.1,275
1659,0.00,0.02,2.8,275
1663,0.00,0.02,4.6,275
1667,0.00,0.02,5.5,275
1670,0.00,0.02,4.1,275
1673,0.00,0.02,4.8,275
1677,0.00,0.02,3.2,275
1681,0.00,0.02,5.0,275
1685,0.00,0.02,3.7,275
1688,0.00,0.02,5.0,275
1692,0.00,0.02,5.9,275
1695,0.00,0.02,4.3,275
1699,0.00,0.02,5.3,275
1702,0.00,0.02,4.0,275
1706,0.00,0.02,5.0,275
1709,0.00,0.02,3.6,275
1713,0.00,0.02,4.6,275
1716,0.00,0.02,3.0,275
1720,0.00,0.02,3.7,275
1724,0.00,0.02,5.2,275
1727,0.00,0.02,4.0,275
1731,0.00,0.02,5.3,275
1735,0.00,0.02,4.7,275
1738,0.00,0.02,4.8,275
1742,0.00,0.02,3.4,275
1746,0.00,0.02,5.2,275
1749,0.00,0.02,3.7,275
1753,0.00,0.02,4.8,275
1757,0.00,0.02,3.4,275
1760,0.00,0.02,4.6,275
1764,0.00,0.01,5.5,275
1767,0.00,0.01,4.0,275
1771,0.00,0.01,5.0,275
1774,0.00,0.01,5.9,275
1777,0.00,0.01,4.3,275
1781,0.00,0.01,5.5,275
1785,0.00,0.01,4.5,275
1789,0.00,0.01,3.2,275
1793,0.00,0.01,4.4,275
1796,0.00,0.01,5.5,275
1799,0.00,0.01,4.0,275
1803,0.00,0.01,5.0,275
1807,0.00,0.01,3.0,275
1810,0.00,0.01,4.6,275
1816,0.00,0.01,4.8,275
1820,0.00,0.01,4.7,275
1824,0.00,0.01,3.6,275
1828,0.00,0.01,4.8,275
1831,0.00,0.01,3.4,275
1835,0.00,0.01,4.4,275
1838,0.00,0.01,5.3,275
1842,0.00,0.01,3.8,275
1846,0.00,0.01,5.2,275
1849,0.00,0.01,3.8,275
1853,0.00,0.01,5.3,275
1857,0.00,0.01,5.9,275
1860,0.00,0.01,4.7,275
1864,0.00,0.01,3.2,275
1868,0.00,0.01,4.1,275
1871,0.00,0.01,5.3,275
1874,0.00,0.01,6.3,275
1878,0.00,0.01,6.4,275
1881,0.00,0.01,3.2,275
1886,0.00,0.01,5.2,275
1889,0.00,0.01,3.8,275
1893,0.00,0.01,5.3,275
1897,0.00,0.01,5.7,275
1900,0.00,0.01,4.5,275
1904,0.00,0.01,3.2,275
1908,0.00,0.01,4.6,275
1911,0.00,0.01,3.0,275
1915,0.00,0.01,3.9,275
1918,0.00,0.01,5.0,275
1921,0.00,0.01,3.6,275
1925,0.00,0.01,4.6,275
1928,0.00,0.01,3.2,275
1933,0.00,0.01,4.8,275
1936,0.00,0.01,5.9,275
1940,0.00,0.01,4.1,275
1943,0.00,0.01,5.3,275
1947,0.00,0.01,4.1,275
1951,0.00,0.01,2.7,275
1954,0.00,0.01,3.7,275
1958,0.00,0.01,4.8,275
1961,0.00,0.01,3.4,275
1965,0.00,0.01,4.6,275
1968,0.00,0.01,5.3,275
1971,0.00,0.01,4.0,275
